item_link,item_link-href,item_name,item_image-src,item_total_price,item_recipe_price,item_stats,item_builds_from,item_builds_into,item_maps
"Ardent Censer
					
						 2400 / 700","http://www.mobafire.com/league-of-legends/item/ardent-censer-243","Ardent Censer","http://www.mobafire.com/images/item/ardent-censer.gif","2400","700","60 Ability Power, 10% Cooldown Reduction, 50% Base Mana Regeneration. UNIQUE Passive: +8% Movement Speed.



UNIQUE Passive: Your heals and shields on another champion grant them 15% Attack Speed and 30 magic damage on hit for 6 seconds. This does not include regeneration effects or effects on yourself.

Ardent Healing: +15% bonus healing and shielding power.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/aether-wisp.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/forbidden-idol.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Ruby Sightstone
					
						 1600 / 400","http://www.mobafire.com/league-of-legends/item/ruby-sightstone-160","Ruby Sightstone","http://www.mobafire.com/images/item/ruby-sightstone.gif","1600","400","500 Health. UNIQUE Passive: Staying Active: Item active cooldowns are reduced by 20%.



UNIQUE Passive: Ward Refresh: Starts with 4 charges and refills each time you visit the shop. UNIQUE Active: Ghost Ward: Consumes a charge to place a Stealth Ward that reveals the surrounding area for 150 seconds. 1 second cooldown. Each player can have no more than three Stealth Wards placed on the map at a time.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ruby-crystal.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sightstone.gif""}]","[]","[{""item_maps"":""Summoner's Rift""}]"
"Zeke's Harbinger
					
						 2350 / 480","http://www.mobafire.com/league-of-legends/item/zekes-harbinger-54","Zeke's Harbinger","http://www.mobafire.com/images/item/zekes-harbinger.gif","2350","480","50 Ability Power, 30 Armor, 10% Cooldown Reduction, 250 Mana. UNIQUE Passive: When within 1000 units of each other, you and your Conduit ally generate Charges. Attacking or casting spells generates extra Charges. At 100 Charges, causing damage consumes them, increasing you and your ally's Ability Power by 20% and Critical Strike Chance by 50% for 8 seconds. UNIQUE Active: Conduit: Bind to target ally (60 second cooldown). This will remove all other Conduits on your target.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/amplifying-tome.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/amplifying-tome.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/glacial-shroud.gif""}]","[]","[]"
"Arcane Sweeper Trinket
					
						 0 / 0","http://www.mobafire.com/league-of-legends/item/arcane-sweeper-trinket-286","Arcane Sweeper Trinket","","0","0","Active: Hunter's Sight: A stealth-detecting mist grants vision in the target area for 5 seconds, revealing traps and enemy champions that enter for 3 seconds. 60 second cooldown.","[]","[]","[{""item_maps"":""Twisted Treeline""}]"
"Face of the Mountain
					
						 2200 / 550","http://www.mobafire.com/league-of-legends/item/face-of-the-mountain-187","Face of the Mountain","http://www.mobafire.com/images/item/face-of-the-mountain.gif","2200","550","10% Cooldown Reduction, 2 Gold Generation, 450 Health, 100% Base Health Regeneration. UNIQUE Passive: Spoils of War: Melee basic attacks execute minions below 320 (+20 per level) Health. Killing a minion heals you and the nearest allied champion for 50 and grants them kill gold. Allies who benefit from Spoils of War also gain +1 to their minions killed score. These effects require a nearby allied champion. Recharges every 30 seconds. Max 4 charges. UNIQUE Active: Deadly Phalanx: Grant a shield to an ally equal to 10% of your maximum Health for 4 seconds. After 4 seconds, the shield explodes to slow nearby enemies by 40% for 2 seconds (60 second cooldown).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/targons-brace.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/kindlegem.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Greater Vision Totem
					
						 250 / 250","http://www.mobafire.com/league-of-legends/item/greater-vision-totem-195","Greater Vision Totem","http://www.mobafire.com/images/item/greater-vision-totem.gif","250","250","Active: Places a vision ward that last until it is destroyed. (120 second cooldown).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/warding-totem.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Removed""}]"
"Athene's Unholy Grail
					
						 2250 / 450","http://www.mobafire.com/league-of-legends/item/athenes-unholy-grail-137","Athene's Unholy Grail","http://www.mobafire.com/images/item/athenes-unholy-grail.gif","2250","450","40 Ability Power, 20% Cooldown Reduction, 25 Magic Resistance, 75% Base Mana Regeneration. UNIQUE Passive: Gain 20% of the premitigation damage dealt to champions as Blood Charges, up to 100 - 250 max. Healing or shielding another ally consumes charges to heal them, up to the original effect amount.



UNIQUE Passive: Harmony: Grants 100% base health regen per 5 seconds if your current health percentage is lower than your current mana percentage. Grants 100% base mana regen per 5 seconds if your current mana percentage is lower than your current health percentage.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/chalice-of-harmony.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/fiendish-codex.gif""}]","[]","[]"
"Mercurial Scimitar
					
						 3600 / 525","http://www.mobafire.com/league-of-legends/item/mercurial-scimitar-154","Mercurial Scimitar","http://www.mobafire.com/images/item/mercurial-scimitar.gif","3600","525","65 Attack Damage, 10% Life Steal, 35 Magic Resistance. UNIQUE Active: Remove all crowd control debuffs from your champion and grants 50% movement speed for 1 second (90 second cooldown).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/vampiric-scepter.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/quicksilver-sash.gif""}]","[]","[]"
"Wicked Hatchet
					
						 1200 / 440","http://www.mobafire.com/league-of-legends/item/wicked-hatchet-144","Wicked Hatchet","http://www.mobafire.com/images/item/wicked-hatchet.gif","1200","440","20 Attack Damage, 10% Critical Strike Chance. UNIQUE Passive: Critical strikes cause your target to bleed for 60% of your bonus Attack Damage as magic damage over 3 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/long-sword.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/brawlers-gloves.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/lord-van-damms-pillager.gif""}]","[{""item_maps"":""Twisted Treeline""}]"
"Farsight Orb
					
						 250 / 250","http://www.mobafire.com/league-of-legends/item/farsight-orb-196","Farsight Orb","","250","250","Active: Drops a 60 second visible Farsight ward with 1 hit point at the target location. This ward is untargetable by allies. Enemy champions seen will be revealed for 5 seconds. This does not affect stealth champions. (4000 range, 90 second cooldown).","[]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Removed""}]"
"Giant's Belt
					
						 1000 / 600","http://www.mobafire.com/league-of-legends/item/giants-belt-6","Giant's Belt","http://www.mobafire.com/images/item/giants-belt.gif","1000","600","380 Health.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ruby-crystal.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/warmogs-armor.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/rylais-crystal-scepter.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/randuins-omen.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/overlords-bloodmail.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/dead-mans-plate.gif""}]","[]"
"Elixir of Wrath
					
						 500 / 500","http://www.mobafire.com/league-of-legends/item/elixir-of-wrath-257","Elixir of Wrath","","500","500","Click: Grants +30 Attack Damage and the Bloodlust buff for 3 minutes.



Bloodlust: Dealing physical damage to champions heals for +15% of the damage dealt.



You can only have one Elixir active at any point in time. This item cannot be purchased before level 9.","[]","[]","[]"
"Perfect Hex Core
					
						 3000 / 1000","http://www.mobafire.com/league-of-legends/item/perfect-hex-core-249","Perfect Hex Core","http://www.mobafire.com/images/item/perfect-hex-core.gif","3000","1000","Passive: +10 Ability Power and +25 Mana per level. UNIQUE Passive: Viktor has reached the pinnacle of his power, upgrading Chaos Storm in adition to his basic spells.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/the-hex-core-mk-2.gif""}]","[]","[]"
"Executioner's Calling
					
						 800 / 450","http://www.mobafire.com/league-of-legends/item/executioners-calling-87","Executioner's Calling","http://www.mobafire.com/images/item/executioners-calling.gif","800","450","15 Attack Damage. UNIQUE Passive: Executioner: Physical damage inflicts Grievous Wounds on enemy champions for 3 seconds (Grievous Wounds reduces all healing received and regeneration rates by 40%).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/long-sword.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/mortal-reminder.gif""}]","[]"
"Oracle's Extract
					
						 300 / 300","http://www.mobafire.com/league-of-legends/item/oracles-extract-129","Oracle's Extract","","300","300","Click: Grants your champion stealth detection for 5 minutes. Reveals traps and indicates hidden units with red silhouettes.","[]","[]","[{""item_maps"":""Howling Abyss""}]"
"The Black Spear
					
						 0 / 0","http://www.mobafire.com/league-of-legends/item/the-black-spear-250","The Black Spear","","0","0","Active: Kalista offers a pact to an allied champion. Should they agree, the item is consumed and binds them together, turning the target into an Oathsworn ally for the remainder of the game. Kalista requires an Oathsworn ally to utilize Sentinel's Soul-Marked and Fate's Call.","[]","[]","[]"
"Essence Reaver
					
						 3600 / 400","http://www.mobafire.com/league-of-legends/item/essence-reaver-244","Essence Reaver","http://www.mobafire.com/images/item/essence-reaver.gif","3600","400","70 Attack Damage, 20% Critical Strike Chance. UNIQUE Passive: 10% Cooldown Reduction.



UNIQUE Passive: Gain increasingly more Cooldown Reduction from Critical Strike Chance provided by other sources (maximum +20% additional Cooldown Reduction at 30% Critical Strike Chance).



UNIQUE Passive: Critical strikes restore 3% of your maximum Mana pool.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/cloak-of-agility.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/b-f-sword.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/caulfields-warhammer.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Explorer's Ward
					
						 0 / 0","http://www.mobafire.com/league-of-legends/item/explorers-ward-178","Explorer's Ward","","0","0","Active: Places an invisible ward that reveals the surrounding area for 60 seconds. This item can only be obtained through the explorer mastery.","[]","[]","[{""item_maps"":""Removed""}]"
"Sorcerer's Shoes - Furor
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/sorcerers-shoes-furor-205","Sorcerer's Shoes - Furor","http://www.mobafire.com/images/item/sorcerers-shoes-furor.gif","1550","450","15 Magic Penetration. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: Furor: Upon dealing damage with a single target spell or attack (on hit), grants +12% Movement Speed that decays over 2 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sorcerers-shoes.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Poacher's Knife
					
						 850 / 450","http://www.mobafire.com/league-of-legends/item/poachers-knife-258","Poacher's Knife","http://www.mobafire.com/images/item/poachers-knife.gif","850","450","UNIQUE Passive: Scavenging Smite: When you Smite and kill a large monster in the enemy jungle, the cooldown of Smite is halved, you gain +20 bonus gold, and you gain 175% increased Movement Speed decaying over 2 seconds.



UNIQUE Passive: Jungler: Deal 45 magic damage on hit to monsters over 2 seconds and gain 10 health and 5 mana per second while in combat with monsters. Additionally, you gain 30 gold for every large monster kill.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/hunters-machete.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Elixir of Brilliance
					
						 250 / 250","http://www.mobafire.com/league-of-legends/item/elixir-of-brilliance-31","Elixir of Brilliance","","250","250","Click: Grants 25-40 Ability Power, based on champion level, and 10% Cooldown Reduction for 3 minutes.","[]","[]","[{""item_maps"":""Removed""}]"
"Stalker's Blade - Runic Echoes
					
						 2625 / 340","http://www.mobafire.com/league-of-legends/item/stalkers-blade-runic-echoes-321","Stalker's Blade - Runic Echoes","http://www.mobafire.com/images/item/stalkers-blade-runic-echoes.gif","2625","340","60 Ability Power, 7% Movement Speed. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Echo - Gain charges upon moving or casting. At full charges, the next spell hit expends all charges to deal 60 (+0.10 ability power) magic damage to up to 4 targets. This effect deals 250% damage to Large Monsters. Hitting a Large Monster with this effect will restore 18% of your missing mana.



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 Health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Chilling Smite: Smite can be cast on enemy champions, dealing 28-164 true damage and stealing 20% of the target's movement speed for 2 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/amplifying-tome.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/aether-wisp.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/stalkers-blade.gif""}]","[]","[]"
"Berserker's Greaves - Furor
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/berserkers-greaves-furor-200","Berserker's Greaves - Furor","http://www.mobafire.com/images/item/berserkers-greaves-furor.gif","1550","450","30% Attack Speed. UNIQUE Passive: Enhanced Movement: +45 Movement Speed



UNIQUE Passive: Furor: Upon dealing damage with a single target spell or attack (on hit), grants +12% Movement Speed that decays over 2 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/berserkers-greaves.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Greater Orb
					
						 0 / 0","http://www.mobafire.com/league-of-legends/item/greater-orb-192","Greater Orb","","0","0","Active: Enemy champions hit will be revealed for 5 seconds. This does not affect stealth champions. (2500 range, 150 second cooldown).



(This item is unavailable for purchase)","[]","[]","[{""item_maps"":""Removed""}]"
"Odyn's Veil
					
						 2500 / 450","http://www.mobafire.com/league-of-legends/item/odyns-veil-124","Odyn's Veil","http://www.mobafire.com/images/item/odyns-veil.gif","2500","450","350 Health, 50 Magic Resistance, 350 Mana. UNIQUE Passive: Reduces and stores 10% of the magic damage dealt to your champion. UNIQUE Active: Deals 200 + (stored magic, max 400) to nearby enemy units. 90 second cooldown. 525 Range estimate.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/negatron-cloak.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/catalyst-of-aeons.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Kircheis Shard
					
						 750 / 450","http://www.mobafire.com/league-of-legends/item/kircheis-shard-293","Kircheis Shard","http://www.mobafire.com/images/item/kircheis-shard.gif","750","450","15% Attack Speed. Passive: Energize: Moving and attacking builds stacks, up to 100. When fully stacked, your next basic attack expends the charges and becomes energized. UNIQUE Passive: Energized Strike: Your energized basic attacks deal 40 bonus magic damage on-hit.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/dagger.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/statikk-shiv.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/rapid-firecannon.gif""}]","[]"
"Sorcerer's Shoes - Captain
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/sorcerers-shoes-captain-204","Sorcerer's Shoes - Captain","http://www.mobafire.com/images/item/sorcerers-shoes-captain.gif","1550","450","15 Magic Penetration. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: Captain: Grants +10% Movement Speed to nearby approaching allied champions.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sorcerers-shoes.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Quill Coat
					
						 700 / 75","http://www.mobafire.com/league-of-legends/item/quill-coat-245","Quill Coat","http://www.mobafire.com/images/item/quill-coat.gif","700","75","20 Armor. UNIQUE Passive: Sapping Barbs: Attacking monsters lose 5% of their maximum health over 3 seconds (up to 150). Wearer gains +40 health regeneration per 5 seconds and +30 mana regeneration per 5 seconds when in combat with monsters. UNIQUE Active: Hunter's Ward: Places a Stealth Ward that reveals the surrounding area for 180 seconds (180 second cooldown)","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/cloth-armor.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/hunters-machete.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Removed""}]"
"Hunter's Machete
					
						 350 / 350","http://www.mobafire.com/league-of-legends/item/hunters-machete-151","Hunter's Machete","","350","350","Passive: Grants 8% Lifesteal vs monsters.



UNIQUE Passive: Nail: Basic attacks deal 20 bonus damage on-hit vs monsters. Killing large monsters grants 15 bonus experience.



This item can only be purchased if you have Smite as a summoner spell.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/skirmishers-sabre.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/stalkers-blade.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/trackers-knife.gif""}]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Mercury's Treads - Captain
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/mercurys-treads-captain-214","Mercury's Treads - Captain","http://www.mobafire.com/images/item/mercurys-treads-captain.gif","1550","450","25 Magic Resistance. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: Tenacity: Reduces the duration of stuns, slows, taunts, fears, silences, blinds, and immobilizes by 30%.



UNIQUE Passive: Captain: Grants +10% Movement Speed to nearby approaching allied champions.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/mercurys-treads.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Skirmisher's Sabre - Bloodrazor
					
						 2625 / 625","http://www.mobafire.com/league-of-legends/item/skirmishers-sabre-bloodrazor-329","Skirmisher's Sabre - Bloodrazor","http://www.mobafire.com/images/item/skirmishers-sabre-bloodrazor.gif","2625","625","50% Attack Speed. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle.

UNIQUE Passive: Basic attacks deal 4% of the target's maximum Health as bonus physical damage (maximum 75 damage vs minions and monsters).



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 Health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Challenging Smite: Smite can be cast on enemy champions, marking them for 4 seconds. While marked, you deal 60-162 (based on level) true damage over 3 seconds, have vision of them, and reduce their damage to you by 20%.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/recurve-bow.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/skirmishers-sabre.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Innervating Locket
					
						 2250 / 450","http://www.mobafire.com/league-of-legends/item/innervating-locket-47","Innervating Locket","","2250","450","430 Health, 450 Mana. UNIQUE Passive: Reduces ability cooldowns by 10%. When you use an ability, you regenerate 50 Health and 20 Mana over 2 seconds. This effect has a 3 second cooldown.

UNIQUE Aura: Nearby allies gain 20 Health Regen per 5 and 9 Mana Regen per 5.



(Item is unavailable for purchase)","[]","[]","[{""item_maps"":""Removed""}]"
"Liandry's Torment
					
						 3200 / 750","http://www.mobafire.com/league-of-legends/item/liandrys-torment-153","Liandry's Torment","http://www.mobafire.com/images/item/liandrys-torment.gif","3200","750","80 Ability Power, 300 Health. UNIQUE Passive: Eyes of Pain: +15 Magic Penetration. UNIQUE Passive: Dealing spell damage burns enemies for 6% of their current Health as magic damage over 3 seconds, dealing 1% of their current Health as magic damage every .5 seconds. If their movement is impaired, they take double damage from this effect. 100 max damage per second vs monsters.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/blasting-wand.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/haunting-guise.gif""}]","[]","[]"
"Skirmisher's Sabre
					
						 1000 / 300","http://www.mobafire.com/league-of-legends/item/skirmishers-sabre-260","Skirmisher's Sabre","http://www.mobafire.com/images/item/skirmishers-sabre.gif","1000","300","Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Challenging Smite: Smite can be cast on enemy champions, marking them for 4 seconds. While marked, you deal 60-162 (based on level) true damage over 3 seconds, have vision of them, and reduce their damage to you by 20%.



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 Health over 5 seconds. Killing a large monster grants +30 bonus experience.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/hunters-machete.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/hunters-talisman.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/skirmishers-sabre-cinderhulk.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/skirmishers-sabre-warrior.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/skirmishers-sabre-runic-echoes.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/skirmishers-sabre-bloodrazor.gif""}]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Seraph's Embrace
					
						 3000 / 0","http://www.mobafire.com/league-of-legends/item/seraphs-embrace-163","Seraph's Embrace","http://www.mobafire.com/images/item/seraphs-embrace.gif","3000","0","80 Ability Power, 1000 Mana. UNIQUE Passive: Awe: Gain Ability Power equal to 3% of your maximum Mana. Refunds 25% of Mana spent.

UNIQUE Active: Mana Shield: Drains 20% of your current Mana to shield yourself for an equal amount + 150 for 3 seconds. 120 second cooldown.







Seraph's Embrace is obtained by gaining full Mana Charge on Archangel's Staff (750 bonus Mana).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/archangels-staff.gif""}]","[]","[]"
"Eye of the Oasis
					
						 2200 / 550","http://www.mobafire.com/league-of-legends/item/eye-of-the-oasis-301","Eye of the Oasis","http://www.mobafire.com/images/item/eye-of-the-oasis.gif","2200","550","10% Cooldown Reduction, 200 Health, 150% Base Health Regeneration, 100% Base Mana Regeneration. UNIQUE Passive: Favor: Being near a minion death without dealing the killing blow grants 6 Gold and 10 Health.



UNIQUE Passive: Warding: Consumes a charge to place a Stealth Ward that reveals the surrounding area for 150 seconds. Holds up to 4 charges which refill upon visiting the shop.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/nomads-medallion.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sightstone.gif""}]","[]","[]"
"Mortal Reminder
					
						 2700 / 600","http://www.mobafire.com/league-of-legends/item/mortal-reminder-297","Mortal Reminder","http://www.mobafire.com/images/item/mortal-reminder.gif","2700","600","50 Attack Damage. UNIQUE Passive: Executioner: Physical damage inflicts Grievous Wounds on enemy champions for 5 seconds (Grievous Wounds reduces all healing received and regeneration rates by 40%).



UNIQUE Passive: Last Whisper: Physical damage ignores 45% of the target's bonus armor (applies before armor penetration).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/last-whisper.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/executioners-calling.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Spirit of the Spectral Wraith
					
						 2000 / 100","http://www.mobafire.com/league-of-legends/item/spirit-of-the-spectral-wraith-167","Spirit of the Spectral Wraith","http://www.mobafire.com/images/item/spirit-of-the-spectral-wraith.gif","2000","100","50 Ability Power, 10% Cooldown Reduction. UNIQUE Passive: Returns 6% of damage dealt to monsters as Health and 3% of damage dealt to monsters as Mana.

UNIQUE Passive: Grants 2 AP per large monster kill (maximum 30).

UNIQUE Passive – Conservation: Gain a stack of Conservation every 1.5 seconds (maximum 80). Conservation stacks are traded for equal gold upon killing a large monster, up to 40 gold for a kill.

UNIQUE Passive: Damage dealt to monsters increased by 30%.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/fiendish-codex.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Entropy
					
						 2700 / 500","http://www.mobafire.com/league-of-legends/item/entropy-127","Entropy","http://www.mobafire.com/images/item/entropy.gif","2700","500","55 Attack Damage, 275 Health. UNIQUE Passive: Rage: basic attacks grant 20 movement speed for 2 seconds on hit. Minion, monster, and champion kills grant 60 movement speed for 2 seconds UNIQUE Active: For 5 seconds, your attacks reduce your target's movement speed by 30% and deal 80 true damage over 2.5 seconds. 60 second cooldown.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/phage.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Greater Lens
					
						 0 / 0","http://www.mobafire.com/league-of-legends/item/greater-lens-193","Greater Lens","http://www.mobafire.com/images/item/greater-lens.gif","0","0","Active: Disables and reveals nearby hidden wards, traps or devices for 6 seconds (60 second cooldown, sweep area of effect increased by 100%, 600 range).



(This item is unavailable for purchase)","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sweeping-lens.gif""}]","[]","[{""item_maps"":""Removed""}]"
"The Hex Core MK-1
					
						 1000 / 1000","http://www.mobafire.com/league-of-legends/item/the-hex-core-mk-1-247","The Hex Core MK-1","http://www.mobafire.com/images/item/the-hex-core-mk-1.gif","1000","1000","Passive: +3 Ability Power and + 15 Mana per level. UNIQUE Passive: Viktor can upgrade one of his basic spells.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/prototype-hex-core.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/the-hex-core-mk-2.gif""}]","[]"
"Sword of the Divine
					
						 2200 / 850","http://www.mobafire.com/league-of-legends/item/sword-of-the-divine-97","Sword of the Divine","http://www.mobafire.com/images/item/sword-of-the-divine.gif","2200","850","45% Attack Speed. Passive: This item does not grant any Attack Speed while on cooldown. Champion kills reduce the current cooldown by 50%. UNIQUE Active: Gain 100% Attack Speed and 100% Critical Strike Chance for 3 seconds or 3 critical strikes. 60 second cooldown.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/dagger.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/recurve-bow.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Sapphire Crystal
					
						 350 / 350","http://www.mobafire.com/league-of-legends/item/sapphire-crystal-10","Sapphire Crystal","","350","350","250 Mana.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/catalyst-of-aeons.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/glacial-shroud.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/sheen.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/tear-of-the-goddess.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/lost-chapter.gif""}]","[]"
